Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Tiresias_HW\Project Outputs for Tiresias\Pick Place for Tiresias_PCB.txt

========================================================================================================================
File Design Information:

Date:       07/02/25
Time:       14:09
Revision:   01a67f469f37664d4053fce3eca10d74ff6e7aa4
Variant:    No variations
Units used: mil

Designator Comment                                                                            Layer       Footprint                 Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                   
C54        1uF                                                                                BottomLayer CAPC1005X04L              1281.496      638.779       0        "Capacitor, X5R, ±5%"                                                                                                                                         
P1         "Pin Header 2x5, 1.27mm Angular"                                                   BottomLayer HDR_2x5-SMD-1.27mm-ANG    1289.035      445.669       270      "Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud Angular"                                                                                                  
TP36       Ø1.0mm,SMD                                                                         TopLayer    TP_SMD_D1.0mm             379.921       1035.433      90       "1.0mm circular SMD testpad"                                                                                                                                  
TP35       Ø1.0mm,SMD                                                                         TopLayer    TP_SMD_D1.0mm             647.992       1035.433      90       "1.0mm circular SMD testpad"                                                                                                                                  
J4         SM02B-SRSS-TB                                                                      BottomLayer SM02B-SRSS-TB(LF)(SN)     116.634       1120.079      90       "1.0mm pitch connector side entry SMD"                                                                                                                        
J3         SM02B-SRSS-TB                                                                      BottomLayer SM02B-SRSS-TB(LF)(SN)     120.571       700.787       90       "1.0mm pitch connector side entry SMD"                                                                                                                        
D4         PESD5V0V1BDSF                                                                      BottomLayer DFN40P60X30-2N            264.764       1104.823      180      "Very low capacitance bidirectional ESD protection diode"                                                                                                     
D3         PESD5V0V1BDSF                                                                      BottomLayer DFN40P60X30-2N            264.764       1149.114      180      "Very low capacitance bidirectional ESD protection diode"                                                                                                     
U1         *                                                                                  TopLayer    BGA95C35P12X11_437X397X50 778.307       641.732       90       "Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"                                                               
TP12       Ø1.0mm,SMD                                                                         BottomLayer TP_SMD_D1.0mm             1110.236      702.756       180      "1.0mm circular SMD testpad"                                                                                                                                  
TP11       Ø1.0mm,SMD                                                                         BottomLayer TP_SMD_D1.0mm             1110.236      633.858       180      "1.0mm circular SMD testpad"                                                                                                                                  
R5         1M0                                                                                BottomLayer RESC0603X03L_C            1281.496      758.858       0        "Resistor, ±1%, 0.05W"                                                                                                                                        
R4         220k                                                                               BottomLayer RESC0603X03L_C            1281.496      810.039       180      "Resistor, ±1%, 0.05W"                                                                                                                                        
R2         1M5                                                                                BottomLayer RESC0603X03L_C            1281.496      784.449       0        "Resistor, ±1%, 0.05W"                                                                                                                                        
R1         1M0                                                                                BottomLayer RESC0603X03L_C            1281.496      677.165       0        "Resistor, ±1%, 0.05W"                                                                                                                                        
Q1         DMC2990UDJ                                                                         BottomLayer SOTFL35P100X50-6N         1284.449      718.504       270      "MOSFET, Dual N and P-Channel, 20V, 450mA/310mA, 990mOhm, 350mW"                                                                                              
TP7        Ø1.5mm,SMD                                                                         BottomLayer TP_SMD_D1.5mm             1000.984      1172.244      180      "1.5mm circular SMD testpad"                                                                                                                                  
J2         SM02B-SRSS-TB                                                                      BottomLayer SM02B-SRSS-TB(LF)(SN)     1456.201      700.787       270      "1.0mm pitch connector side entry SMD"                                                                                                                        
J5         SM02B-SRSS-TB                                                                      BottomLayer SM02B-SRSS-TB(LF)(SN)     1455.216      1120.079      270      "1.0mm pitch connector side entry SMD"                                                                                                                        
C53        100nF                                                                              TopLayer    CAPC0603X03L_C            500.000       1028.543      0        "Capacitor, NP0, ±2%"                                                                                                                                         
C42        100nF                                                                              TopLayer    CAPC0603X03L_C            237.205       1028.543      0        "Capacitor, NP0, ±2%"                                                                                                                                         
C52        10uF                                                                               TopLayer    CAPC1005X04L              89.567        1043.307      0        "Capacitor, X5R, ±5%"                                                                                                                                         
R25        33R                                                                                TopLayer    RESC0603X03L_C            501.869       620.963       0        "Resistor, ±1%, 0.05W"                                                                                                                                        
R24        33R                                                                                TopLayer    RESC0603X03L_C            501.869       715.452       0        "Resistor, ±1%, 0.05W"                                                                                                                                        
R23        33R                                                                                TopLayer    RESC0603X03L_C            501.869       811.908       0        "Resistor, ±1%, 0.05W"                                                                                                                                        
R22        33R                                                                                TopLayer    RESC0603X03L_C            501.869       905.412       0        "Resistor, ±1%, 0.05W"                                                                                                                                        
R21        33R                                                                                TopLayer    RESC0603X03L_C            417.716       618.110       0        "Resistor, ±1%, 0.05W"                                                                                                                                        
R20        33R                                                                                TopLayer    RESC0603X03L_C            418.307       712.598       0        "Resistor, ±1%, 0.05W"                                                                                                                                        
R19        33R                                                                                TopLayer    RESC0603X03L_C            418.307       809.055       0        "Resistor, ±1%, 0.05W"                                                                                                                                        
R18        33R                                                                                TopLayer    RESC0603X03L_C            418.307       902.559       0        "Resistor, ±1%, 0.05W"                                                                                                                                        
